"Kernel Name","traffic","dpAI","spAI","dpPerf","spPerf","xtime","Block Size","Grid Size","device","intops","intPerf","intAI","targetName","exeArgs","kernelName"
"bit_rev_permutation(long *, const long *, unsigned int)",4585365853.66,0.0,0.0,0.0,0.0,3936.0,"(1024, 1, 1)","(1, 1, 1)","NVIDIA GeForce RTX 3080",14336.0,3642276422.7642274,0.7943262411344982,"bitpermute-cuda","100","bit_rev_permutation"
"bit_rev_permutation(long *, const long *, unsigned int)",3104000000.0,0.0,0.0,0.0,0.0,4000.0,"(1024, 1, 1)","(1, 1, 1)","NVIDIA GeForce RTX 3080",14336.0,3583999999.9999995,1.1546391752577319,"bitpermute-cuda","100","bit_rev_permutation"
"bit_rev_permutation_z(long *, const long *, unsigned int)",6273972602.74,0.0,0.0,0.0,0.0,4672.0,"(32, 1, 1)","(2, 1, 1)","NVIDIA GeForce RTX 3080",11648.0,2493150684.9315066,0.39737991266373807,"bitpermute-cuda","100","bit_rev_permutation_z"
"bit_rev_permutation_z(long *, const long *, unsigned int)",6496453900.71,0.0,0.0,0.0,0.0,4512.0,"(32, 1, 1)","(2, 1, 1)","NVIDIA GeForce RTX 3080",11648.0,2581560283.687943,0.3973799126637077,"bitpermute-cuda","100","bit_rev_permutation_z"
"initial_value(unsigned int, double, double, double *)",25284036202.58,9.317278529443637,0.4095068930050722,235578407647.9743,10353987107.9463,6480864.0,"(256, 1, 1)","(65536, 1, 1)","NVIDIA GeForce RTX 3080",855707646.0,132036044268.17165,5.222111027301036,"heat-cuda","4096 1000","initial_value"
"zero(unsigned int, double *)",733262676056.34,0.0,0.0,0.0,0.0,181760.0,"(256, 1, 1)","(65536, 1, 1)","NVIDIA GeForce RTX 3080",50331648.0,276912676056.338,0.3776445809919576,"heat-cuda","4096 1000","zero"
"solve(unsigned int, double, double, double, double, double, double *, double *)",518742595117.11,0.5636609721432052,0.0,292394955455.7993,0.0,516416.0,"(256, 1, 1)","(65536, 1, 1)","NVIDIA GeForce RTX 3080",637562878.0,1234591643171.3967,2.379969670492701,"heat-cuda","4096 1000","solve"
"solve(unsigned int, double, double, double, double, double, double *, double *)",517935340022.3,0.5642375152310176,0.0,292238549304.5148,0.0,516672.0,"(256, 1, 1)","(65536, 1, 1)","NVIDIA GeForce RTX 3080",637562878.0,1233979929239.44,2.3824980338014976,"heat-cuda","4096 1000","solve"
"crc64_kernel(unsigned long *, unsigned long *, const unsigned char *, const unsigned long *, const unsigned long *, unsigned long, int)",85088253072.74,0.0,0.0,0.0,0.0,635264.0,"(64, 1, 1)","(384, 1, 1)","NVIDIA GeForce RTX 3080",172788196.0,271994314174.8942,3.196614154745573,"crc64-cuda","10 5 33554432","crc64_kernel"
"crc64_kernel(unsigned long *, unsigned long *, const unsigned char *, const unsigned long *, const unsigned long *, unsigned long, int)",104794514855.6,0.0,0.0,0.0,0.0,616064.0,"(64, 1, 1)","(384, 1, 1)","NVIDIA GeForce RTX 3080",206434545.0,335086200459.6925,3.1975547663102346,"crc64-cuda","10 5 33554432","crc64_kernel"
"tausworthe_lookback(unsigned int, const unsigned int *, float *, float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *)",1949151919.46,0.0,2809.716199415141,0.0,5476563723227.879,80975328.0,"(256, 1, 1)","(4096, 1, 1)","NVIDIA GeForce RTX 3080",287342387683.0,3548517737192.741,1820.544464371887,"loopback-cuda","0 100","tausworthe_lookback"
"tausworthe_lookback(unsigned int, const unsigned int *, float *, float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *)",1930372412.57,0.0,2836.4158277443175,0.0,5475338864454.531,80993184.0,"(256, 1, 1)","(4096, 1, 1)","NVIDIA GeForce RTX 3080",287342387683.0,3547735420341.0493,1837.8502496405729,"loopback-cuda","0 100","tausworthe_lookback"
"kernel_adjust_weights(const float *, float *, const float *, float *, int)",634419864559.82,0.0,0.2914902816775933,0.0,184927225022.4025,28352.0,"(16, 16, 1)","(1, 4096, 1)","NVIDIA GeForce RTX 3080",9437296.0,332861738148.9842,0.5246710526315785,"backprop-cuda","65536","kernel_adjust_weights"
"kernel_layerforward(const float *, float *, float *, int)",379337713534.82,0.0,0.33344483922595886,0.0,126488202901.96089,24352.0,"(16, 16, 1)","(1, 4096, 1)","NVIDIA GeForce RTX 3080",17891328.0,734696452036.7937,1.9367872632293777,"backprop-cuda","65536","kernel_layerforward"
"__omp_offloading_10309_2f26c9a__Z6haccmkIfEvimiT_S0_S0_PKS0_S2_S2_S2_PS0_S3_S3__l35",41022996.47,0.0,981.6814109975326,0.0,40271513058.016396,9928480.0,"(32, 1, 1)","(25, 1, 1)","NVIDIA GeForce RTX 3080",94109744.0,9478766538.281792,231.0598287283472,"haccmk-omp","1000","__omp_offloading_10309_2f26c9a__Z6haccmkIfEvimiT_S0_S0_PKS0_S2_S2_S2_PS0_S3_S3__l35"
"__omp_offloading_10309_2f26c9a__Z6haccmkIfEvimiT_S0_S0_PKS0_S2_S2_S2_PS0_S3_S3__l35",2069821417.06,0.0,19.4598927794334,0.0,40278502848.5625,9927040.0,"(32, 1, 1)","(25, 1, 1)","NVIDIA GeForce RTX 3080",94109744.0,9480141512.475018,4.580173648961816,"haccmk-omp","1000","__omp_offloading_10309_2f26c9a__Z6haccmkIfEvimiT_S0_S0_PKS0_S2_S2_S2_PS0_S3_S3__l35"
"__omp_offloading_10309_2fc4a44_main_l156",73032418952.62,0.0,2.7918139382744225,0.0,203892925177.8216,25664.0,"(32, 1, 1)","(511, 1, 1)","NVIDIA GeForce RTX 3080",11569551.0,450808564526.1845,6.172718513111937,"lud-omp","-s 8192","__omp_offloading_10309_2fc4a44_main_l156"
"__omp_offloading_10309_2fc4a44_main_l156",71925187032.42,0.0,2.8292398253033944,0.0,203493603594.5179,25664.0,"(32, 1, 1)","(510, 1, 1)","NVIDIA GeForce RTX 3080",11546910.0,449926355985.0374,6.255477038693481,"lud-omp","-s 8192","__omp_offloading_10309_2fc4a44_main_l156"
"__omp_offloading_10309_2fc4a44_main_l234",280094419164.88,0.0,4.117309729420966,0.0,1153235477184.0747,1912832.0,"(256, 1, 1)","(261121, 1, 1)","NVIDIA GeForce RTX 3080",5281433345.0,2761054470544.198,9.857584734378015,"lud-omp","-s 8192","__omp_offloading_10309_2fc4a44_main_l234"
"__omp_offloading_10309_2fc4a44_main_l234",280020004027.66,0.0,4.115284653423729,0.0,1152362025226.68,1906816.0,"(256, 1, 1)","(260100, 1, 1)","NVIDIA GeForce RTX 3080",5260783108.0,2758935895230.583,9.852638581342422,"lud-omp","-s 8192","__omp_offloading_10309_2fc4a44_main_l234"
"__omp_offloading_10309_2fc4a44_main_l267",685224839.4,0.0,0.35519287109281644,0.0,243386978.05060002,14944.0,"(16, 1, 1)","(1, 1, 1)","NVIDIA GeForce RTX 3080",8683.0,581035867.2376873,0.84794921875053,"lud-omp","-s 8192","__omp_offloading_10309_2fc4a44_main_l267"
"__omp_offloading_10309_2fc4a44_main_l114",686695278.97,0.0,0.35340478515566165,0.0,242681397.5318,14912.0,"(16, 1, 1)","(1, 1, 1)","NVIDIA GeForce RTX 3080",8683.0,582282725.3218884,0.847949218749947,"lud-omp","-s 8192","__omp_offloading_10309_2fc4a44_main_l114"
"__omp_offloading_10309_2fc4a44_main_l114",676659528.91,0.0,0.35855666534708647,0.0,242620784.26130003,14944.0,"(16, 1, 1)","(1, 1, 1)","NVIDIA GeForce RTX 3080",8683.0,581035867.2376873,0.8586827531619211,"lud-omp","-s 8192","__omp_offloading_10309_2fc4a44_main_l114"
"StreamCompaction(int, int, int, float, int *, const int *, int *)",103431132006.17,0.0,0.011047601835120942,0.0,1142665963.76,435616.0,"(256, 1, 1)","(1024, 1, 1)","NVIDIA GeForce RTX 3080",679986722.0,1560977379159.6267,15.09194909581488,"sc-cuda","-a 0.1","StreamCompaction"
"StreamCompaction(int, int, int, float, int *, const int *, int *)",102691350797.6,0.0,0.011130973963431538,0.0,1143054751.9977002,437312.0,"(256, 1, 1)","(1024, 1, 1)","NVIDIA GeForce RTX 3080",679986264.0,1554922490121.4692,15.141708411121702,"sc-cuda","-a 0.1","StreamCompaction"
"run_reduction(const bool *, bool *, const unsigned int *, unsigned int)",1208333333.33,0.0,0.0,0.0,0.0,3072.0,"(4, 4, 2)","(1, 1, 1)","NVIDIA GeForce RTX 3080",767.0,249674479.16666663,0.20662715517298377,"eikonal-cuda","-s 512","run_reduction"
"run_reduction(const bool *, bool *, const unsigned int *, unsigned int)",1254901960.78,0.0,0.0,0.0,0.0,3264.0,"(4, 4, 2)","(4, 1, 1)","NVIDIA GeForce RTX 3080",3068.0,939950980.3921568,0.7490234375025747,"eikonal-cuda","-s 512","run_reduction"
"run_solver(const double *, const bool *, const double *, double *, bool *, const unsigned int *, int, int, int, int, unsigned int)",645161290.32,0.4684522589092338,0.11153625212124615,302227263.8112,71958872.33600001,25792.0,"(4, 4, 4)","(1, 1, 1)","NVIDIA GeForce RTX 3080",18675.0,724061724.5657567,1.122295673081412,"eikonal-cuda","-s 512","run_solver"
"run_solver(const double *, const bool *, const double *, double *, bool *, const unsigned int *, int, int, int, int, unsigned int)",835555555.56,2.1858552356973093,0.6147717850398682,1826403485.8367999,513675980.39159995,21600.0,"(4, 4, 4)","(3, 1, 1)","NVIDIA GeForce RTX 3080",58848.0,2724444444.4444447,3.2606382978549973,"eikonal-cuda","-s 512","run_solver"
"run_check_neighbor(const double *, const bool *, const double *, double *, bool *, const unsigned int *, int, int, int, unsigned int, unsigned int)",3329341317.37,0.03931429856122309,0.0,130890718.56329998,0.0,5344.0,"(4, 4, 4)","(4, 1, 1)","NVIDIA GeForce RTX 3080",21536.0,4029940119.760479,1.210431654674539,"eikonal-cuda","-s 512","run_check_neighbor"
"run_check_neighbor(const double *, const bool *, const double *, double *, bool *, const unsigned int *, int, int, int, unsigned int, unsigned int)",4196078431.37,0.14436868643463724,0.01374939870806069,605782331.3136001,57693555.3632,6528.0,"(4, 4, 4)","(11, 1, 1)","NVIDIA GeForce RTX 3080",57766.0,8848958333.333334,2.10886390187044,"eikonal-cuda","-s 512","run_check_neighbor"
"add_kernel_non_interleaved(NON_INTERLEAVED_T *, const NON_INTERLEAVED_T *, unsigned int)",324426394.11,0.0,0.0,0.0,0.0,2135264.0,"(256, 1, 1)","(16, 1, 1)","NVIDIA GeForce RTX 3080",271810560.0,127295997122.60405,392.3725055472616,"interleave-cuda","100","add_kernel_non_interleaved"
"add_kernel_non_interleaved(NON_INTERLEAVED_T *, const NON_INTERLEAVED_T *, unsigned int)",278278157.66,0.0,0.0,0.0,0.0,2124608.0,"(256, 1, 1)","(16, 1, 1)","NVIDIA GeForce RTX 3080",271810560.0,127934451908.30496,459.7358735737181,"interleave-cuda","100","add_kernel_non_interleaved"
"add_kernel_interleaved(INTERLEAVED_T *, const INTERLEAVED_T *, unsigned int)",1189057185.43,0.0,0.0,0.0,0.0,17480256.0,"(256, 1, 1)","(16, 1, 1)","NVIDIA GeForce RTX 3080",271810560.0,15549575475.324846,13.077230990956618,"interleave-cuda","100","add_kernel_interleaved"
"add_kernel_interleaved(INTERLEAVED_T *, const INTERLEAVED_T *, unsigned int)",1173669093.46,0.0,0.0,0.0,0.0,17480416.0,"(256, 1, 1)","(16, 1, 1)","NVIDIA GeForce RTX 3080",271810560.0,15549433148.501728,13.248566597814795,"interleave-cuda","100","add_kernel_interleaved"
"maxpool3d(const float *, float *, int, int, int, int, int, int, int, int)",728516478555.3,0.0,0.0,0.0,0.0,2764320.0,"(16, 16, 1)","(64, 64, 96)","NVIDIA GeForce RTX 3080",6140461056.0,2221327869421.7744,3.049111358231492,"maxpool3d-cuda","2048 2048 96 100","maxpool3d"
"maxpool3d(const float *, float *, int, int, int, int, int, int, int, int)",720381783165.29,0.0,0.0,0.0,0.0,2824640.0,"(16, 16, 1)","(64, 64, 96)","NVIDIA GeForce RTX 3080",6140461056.0,2173891559986.4053,3.0176936879699117,"maxpool3d-cuda","2048 2048 96 100","maxpool3d"
"void testKernel<int>(T1 *)",1213332021.23,0.0,0.0,0.0,0.0,295910720.0,"(256, 1, 1)","(524288, 1, 1)","NVIDIA GeForce RTX 3080",1610612736.0,5442900939.851047,4.485912219091832,"atomicIntrinsics-cuda","100","testKernel"
"void testKernel<int>(T1 *)",1213700316.31,0.0,0.0,0.0,0.0,295898336.0,"(256, 1, 1)","(524288, 1, 1)","NVIDIA GeForce RTX 3080",1610612736.0,5443128737.297123,4.4847386658395285,"atomicIntrinsics-cuda","100","testKernel"
"__omp_offloading_10309_2fc582e__Z8sumArrayfiPKfPf_l57",3848140622.18,0.0,0.2357478784004961,0.0,907190987.4657,10992064.0,"(256, 1, 1)","(256, 1, 1)","NVIDIA GeForce RTX 3080",115395136.0,10498040768.32158,2.7280813772274164,"rfs-omp","100 5000000","__omp_offloading_10309_2fc582e__Z8sumArrayfiPKfPf_l57"
"__omp_offloading_10309_2fc582e__Z8sumArrayfiPKfPf_l57",3837811715.8,0.0,0.23638309753486525,0.0,907193821.1364,10992064.0,"(256, 1, 1)","(256, 1, 1)","NVIDIA GeForce RTX 3080",115395136.0,10498040768.32158,2.7354236074432436,"rfs-omp","100 5000000","__omp_offloading_10309_2fc582e__Z8sumArrayfiPKfPf_l57"
"__omp_offloading_10309_2fc582e_main_l136",1813333333.33,0.0,0.0,0.0,0.0,2400.0,"(256, 1, 1)","(1, 1, 1)","NVIDIA GeForce RTX 3080",5096.0,2123333333.333333,1.1709558823550936,"rfs-omp","100 5000000","__omp_offloading_10309_2fc582e_main_l136"
"__omp_offloading_10309_2fc582e__Z9sumArraysiiPKfPfS0__l72",6326252392.41,0.0,0.6055921361279617,0.0,3831128700.0042,390935616.0,"(256, 1, 1)","(256, 1, 1)","NVIDIA GeForce RTX 3080",437704004.0,1119631944.7138834,0.17698186465926902,"rfs-omp","100 5000000","__omp_offloading_10309_2fc582e__Z9sumArraysiiPKfPfS0__l72"
"__omp_offloading_10309_2f08680__Z11modulateGPUPfPKfi_l198",449979925437.34,0.0,0.1670795636060142,0.0,75182449573.53758,223168.0,"(256, 1, 1)","(128, 1, 1)","NVIDIA GeForce RTX 3080",251985920.0,1129131058216.2317,2.5092920692380174,"fwt-omp","100","__omp_offloading_10309_2f08680__Z11modulateGPUPfPKfi_l198"
"__omp_offloading_10309_2f08680__Z11modulateGPUPfPKfi_l198",449294420600.86,0.0,0.16693569885450085,0.0,75003278094.4326,223680.0,"(256, 1, 1)","(128, 1, 1)","NVIDIA GeForce RTX 3080",251985920.0,1126546494992.8467,2.5073680939244016,"fwt-omp","100","__omp_offloading_10309_2f08680__Z11modulateGPUPfPKfi_l198"
"__omp_offloading_10309_2f08680__Z11fwtBatchGPUPfii_l114",313034503450.35,0.0,1.381906392433314,0.0,432584381370.22687,213312.0,"(512, 1, 1)","(4096, 1, 1)","NVIDIA GeForce RTX 3080",314580992.0,1474745874587.4587,4.711128831909631,"fwt-omp","100","__omp_offloading_10309_2f08680__Z11fwtBatchGPUPfii_l114"
"__omp_offloading_10309_2f08680__Z11fwtBatchGPUPfii_l114",312447841726.62,0.0,1.3832536603361523,0.0,432194620732.47784,213504.0,"(512, 1, 1)","(4096, 1, 1)","NVIDIA GeForce RTX 3080",314580992.0,1473419664268.585,4.715730011531881,"fwt-omp","100","__omp_offloading_10309_2f08680__Z11fwtBatchGPUPfii_l114"
"__omp_offloading_10309_2f08680__Z11fwtBatchGPUPfii_l31",649210837745.25,0.0,0.25149798682299246,0.0,163275218716.5988,102752.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",155066368.0,1509132357521.0215,2.324564332231934,"fwt-omp","100","__omp_offloading_10309_2f08680__Z11fwtBatchGPUPfii_l31"
"__omp_offloading_10309_2f08680__Z11fwtBatchGPUPfii_l31",646261085271.32,0.0,0.2515633761675497,0.0,162575620496.55798,103200.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",155066368.0,1502581085271.3179,2.3250372326541817,"fwt-omp","100","__omp_offloading_10309_2f08680__Z11fwtBatchGPUPfii_l31"
"toneMapping(const float *, float *, float, float, float, float, unsigned int, unsigned int, unsigned int)",495058517555.27,0.0,10.22163216238301,0.0,5060306065304.602,24608.0,"(16, 16, 1)","(32, 48, 1)","NVIDIA GeForce RTX 3080",37220352.0,1512530559167.7502,3.0552561071709796,"tonemapping-cuda","../tonemapping-sycl/input.hdr 10000","toneMapping"
"toneMapping(const float *, float *, float, float, float, float, unsigned int, unsigned int, unsigned int)",492511627906.98,0.0,10.208106681519148,0.0,5027611239563.114,24768.0,"(16, 16, 1)","(32, 48, 1)","NVIDIA GeForce RTX 3080",37220352.0,1502759689922.4805,3.0512166713885276,"tonemapping-cuda","../tonemapping-sycl/input.hdr 10000","toneMapping"
"update_particles(Particle *, float *, int, float)",214857142857.14,0.0,0.2602006780929563,0.0,55905974264.54301,5152.0,"(256, 1, 1)","(63, 1, 1)","NVIDIA GeForce RTX 3080",64256.0,12472049689.440994,0.05804810360777135,"nbody-cuda","16000 10","update_particles"
"update_particles(Particle *, float *, int, float)",219816993464.05,0.0,0.26759167345866514,0.0,58821197135.69759,4896.0,"(256, 1, 1)","(63, 1, 1)","NVIDIA GeForce RTX 3080",64256.0,13124183006.535948,0.05970504281636599,"nbody-cuda","16000 10","update_particles"
"accelerate_particles(Particle *, int, float, float)",326562392.65,0.0,5984.080250843262,0.0,1954175564524.9875,4192032.0,"(256, 1, 1)","(63, 1, 1)","NVIDIA GeForce RTX 3080",1536096256.0,366432378378.791,1122.0899485860962,"nbody-cuda","16000 10","accelerate_particles"
"accelerate_particles(Particle *, int, float, float)",5058801083.68,0.0,386.1951230752081,0.0,1953684307124.7937,4193120.0,"(256, 1, 1)","(63, 1, 1)","NVIDIA GeForce RTX 3080",1536096256.0,366337299194.87164,72.41583393675984,"nbody-cuda","16000 10","accelerate_particles"
"accumulate_energy(float *, int)",119207108.68,0.0,0.24116733562906512,0.0,28748860.7884,702240.0,"(1, 1, 1)","(1, 1, 1)","NVIDIA GeForce RTX 3080",8038.0,11446229.209387103,0.09601968654498115,"nbody-cuda","16000 10","accumulate_energy"
"accumulate_energy(float *, int)",116119035.68,0.0,0.24791609192426595,0.0,28787777.5238,702176.0,"(1, 1, 1)","(1, 1, 1)","NVIDIA GeForce RTX 3080",8038.0,11447272.4786948,0.09858222135293226,"nbody-cuda","16000 10","accumulate_energy"
"compute_log(float *, const float *, int, int, int)",683700000000.0,0.0,1.5706797137475135,0.0,1073873720289.1749,116480.0,"(256, 1, 1)","(39063, 1, 1)","NVIDIA GeForce RTX 3080",290172208.0,2491176236263.736,3.6436686211258387,"log2-cuda","log2_parameters.config","compute_log"
"compute_log(float *, const float *, int, int, int)",682745679012.35,0.0,1.57072279459061,0.0,1072404200932.9419,116640.0,"(256, 1, 1)","(39063, 1, 1)","NVIDIA GeForce RTX 3080",290172208.0,2487758984910.8364,3.6437564694801035,"log2-cuda","log2_parameters.config","compute_log"
"__omp_offloading_10309_2fc34ee__Z15iso_2dfd_kernelPfPKfS1_fmm_l149",680331070158.42,0.0,0.8081638085271861,0.0,549818948718.605,98976.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",339580966.0,3430942511315.874,5.043048394830702,"iso2dfd-omp","2048 2048 1000","__omp_offloading_10309_2fc34ee__Z15iso_2dfd_kernelPfPKfS1_fmm_l149"
"__omp_offloading_10309_2fc34ee__Z15iso_2dfd_kernelPfPKfS1_fmm_l149",681104516129.03,0.0,0.8054259994485495,0.0,548579285632.1448,99200.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",339580966.0,3423195221774.1934,5.025947032666122,"iso2dfd-omp","2048 2048 1000","__omp_offloading_10309_2fc34ee__Z15iso_2dfd_kernelPfPKfS1_fmm_l149"
"__omp_offloading_10309_2fc557b__Z16pair_HMM_forwardiiiiPA41_A4_A2_KdPA4_A2_A3_S_S3_PA2_S1_PS0_PA41_A4_A2_d_l20",2873239436.62,0.019764994232992182,0.0,56789560.8948,0.0,4544.0,"(2, 1, 1)","(4, 1, 1)","NVIDIA GeForce RTX 3080",436.0,95950704.22535211,0.03339460784313398,"phmm-omp","1000","__omp_offloading_10309_2fc557b__Z16pair_HMM_forwardiiiiPA41_A4_A2_KdPA4_A2_A3_S_S3_PA2_S1_PS0_PA41_A4_A2_d_l20"
"__omp_offloading_10309_2fc557b__Z16pair_HMM_forwardiiiiPA41_A4_A2_KdPA4_A2_A3_S_S3_PA2_S1_PS0_PA41_A4_A2_d_l20",1734265734.27,0.0322324181687933,0.0,55899578.3628,0.0,4576.0,"(2, 1, 1)","(4, 1, 1)","NVIDIA GeForce RTX 3080",436.0,95279720.27972028,0.05493951612889712,"phmm-omp","1000","__omp_offloading_10309_2fc557b__Z16pair_HMM_forwardiiiiPA41_A4_A2_KdPA4_A2_A3_S_S3_PA2_S1_PS0_PA41_A4_A2_d_l20"
"__omp_offloading_10309_2fc4aa3__ZN14MandelParallel8EvaluateEv_l182",45353255856.85,0.0,111.03740454951496,0.0,5035907818214.712,173472.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",372700565.0,2148476785878.989,47.372051802858394,"mandelbrot-omp","1000","__omp_offloading_10309_2fc4aa3__ZN14MandelParallel8EvaluateEv_l182"
"__omp_offloading_10309_2fc4aa3__ZN14MandelParallel8EvaluateEv_l182",45367527675.28,0.0,111.02306903558635,0.0,5036842157066.485,173440.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",372700565.0,2148873183809.963,47.3658868781789,"mandelbrot-omp","1000","__omp_offloading_10309_2fc4aa3__ZN14MandelParallel8EvaluateEv_l182"
"__omp_offloading_10309_2f043ab__Z16attention_devicePKfS0_S0_iii_l44",239164080011.35,0.0,0.4975789452570916,0.0,119003010675.4302,2255680.0,"(256, 1, 1)","(8, 1, 1)","NVIDIA GeForce RTX 3080",302063616.0,133912441481.06114,0.5599187029871127,"attention-omp","65536 2048 100","__omp_offloading_10309_2f043ab__Z16attention_devicePKfS0_S0_iii_l44"
"__omp_offloading_10309_2f043ab__Z16attention_devicePKfS0_S0_iii_l44",239416285608.79,0.0,0.4975593013539345,0.0,119123799800.2636,2253376.0,"(256, 1, 1)","(8, 1, 1)","NVIDIA GeForce RTX 3080",302063616.0,134049362378.9372,0.5599007688139309,"attention-omp","65536 2048 100","__omp_offloading_10309_2f043ab__Z16attention_devicePKfS0_S0_iii_l44"
"__omp_offloading_10309_2f043ab__Z16attention_devicePKfS0_S0_iii_l40",87490196078.43,0.0,4.589829133104232,0.0,401565050821.7796,3264.0,"(256, 1, 1)","(256, 1, 1)","NVIDIA GeForce RTX 3080",2097152.0,642509803921.5686,7.3437920215151316,"attention-omp","65536 2048 100","__omp_offloading_10309_2f043ab__Z16attention_devicePKfS0_S0_iii_l40"
"__omp_offloading_10309_2f043ab__Z16attention_devicePKfS0_S0_iii_l40",83805825242.72,0.0,4.745130999817275,0.0,397669619324.49976,3296.0,"(256, 1, 1)","(256, 1, 1)","NVIDIA GeForce RTX 3080",2097152.0,636271844660.1941,7.592215013901619,"attention-omp","65536 2048 100","__omp_offloading_10309_2f043ab__Z16attention_devicePKfS0_S0_iii_l40"
